,name
0,pilfering hawk
1,battle mammoth
2,"jorn, god of winter // kaldring, the rimestaff"
3,rune of might
4,reflections of littjara
5,esika's chariot
6,binding the old gods
7,"fynn, the fangbearer"
8,"alrund, god of the cosmos // hakka, whispering raven"
9,icebreaker kraken
10,old-growth troll
11,alrund's epiphany
12,"maja, bretagard protector"
13,snakeskin veil
14,sarulf's packmate
15,grizzled outrider
16,berg strider
17,roots of wisdom
18,blessing of frost
19,mistwalker
20,giant's amulet
21,karfell harbinger
22,graven lore
23,inga rune-eyes
24,draugr thought-thief
25,horizon seeker
26,path to the world tree
27,invasion of the giants
28,elvish warmaster
29,behold the multiverse
30,struggle for skemfar
31,frostpeak yeti
32,cyclone summoner
33,icehide troll
34,"harald, king of skemfar"
35,battle for bretagard
36,harald unites the elves
37,run ashore
38,boreal outrider
39,"svella, ice shaper"
40,"esika, god of the tree // the prismatic bridge"
41,littjara kinseekers
42,icebind pillar
43,ravenform
44,saw it coming
45,elderleaf mentor
46,the bears of littjara
47,"toski, bearer of secrets"
48,the raven's warning
49,niko defies destiny
50,masked vandal
51,undersea invader
52,the three seasons
53,ascendant spirit
54,mists of littjara
55,elven bow
56,augury raven
57,annul
58,"sarulf, realm eater"
59,the trickster-god's heist
60,littjara glade-warden
61,"orvar, the all-form"
62,frost augur
63,battle of frost and fire
64,"cosima, god of the voyage // the omenkeel"
65,"narfi, betrayer king"
66,blizzard brawl
67,"aegar, the freezing flame"
68,glimpse the cosmos
69,rootless yew
70,"vega, the watcher"
71,brinebarrow intruder
72,king narfi's betrayal
73,moritte of the frost
74,fall of the impostor
75,arachnoform
76,guardian gladewalker
77,bind the monster
78,rune of flight
79,"vorinclex, monstrous raider"
80,realmwalker
81,"koma, cosmos serpent"
82,spirit of the aldergard
83,niko aris
84,waking the trolls
85,mammoth growth
86,in search of greatness
87,jaspera sentinel
88,mystic reflection
89,glittering frost
90,"kolvori, god of kinship // the ringhart crest"
91,gnottvold recluse
92,arni slays the troll
93,frostpyre arcanist
94,disdainful stroke
95,cosmos charger
96,sculptor of winter
97,avalanche caller
98,broken wings
99,king harald's revenge
100,tyvar kell
101,depart the realm
102,strategic planning
103,ravenous lindwurm
